road,one-plus-o23,one-plus-o219,one-plus-o220,random--la13,random--la19,random--la104,random--la107,random--la1010,random--la1021,random--la26,random--la219,random--la33,random--la43,random--la411,random--la412,random--la427,random--la430,random--la431,random--la439,random--la512,random--la514,random--la523,random--la532,random--la631,random--la638,random--la660,random--la76,random--la712,random--la727,random--la87
random--la219,0.7833333333333333,0.7842105263157895,0.755,0.7529411764705882,0.76,0.7833333333333333,0.736842105263158,0.7958333333333334,0.7857142857142857,0.7105263157894737,1.0,0.8,0.7363636363636363,0.71,0.7785714285714286,0.7388888888888889,0.7272727272727273,0.7782608695652173,0.7866666666666666,0.8,0.7285714285714286,0.7380952380952381,0.75,0.7681818181818182,0.7714285714285715,0.8111111111111111,0.8066666666666666,0.725,0.7833333333333333,0.7541666666666667
random--la33,0.7785714285714286,0.7571428571428571,0.7285714285714286,0.7642857142857142,0.8071428571428572,0.7642857142857142,0.8,0.7928571428571428,0.7928571428571428,0.7928571428571428,0.8,1.0,0.7428571428571429,0.75,0.7857142857142857,0.7642857142857142,0.7428571428571429,0.7642857142857142,0.75,0.8214285714285714,0.7357142857142858,0.7285714285714286,0.7928571428571428,0.8,0.7714285714285715,0.7642857142857142,0.8214285714285714,0.7785714285714286,0.7785714285714286,0.7642857142857142
random--la43,0.7272727272727273,0.7315789473684211,0.735,0.7352941176470589,0.7466666666666666,0.7333333333333334,0.7578947368421053,0.740909090909091,0.7285714285714286,0.6894736842105262,0.7363636363636363,0.7428571428571429,1.0,0.78,0.7714285714285715,0.7555555555555555,0.6909090909090909,0.7136363636363636,0.7933333333333333,0.8117647058823529,0.7571428571428571,0.7285714285714286,0.735,0.7181818181818183,0.7428571428571429,0.7055555555555555,0.7333333333333334,0.73,0.7818181818181819,0.7454545454545455
random--la411,0.6950000000000001,0.7842105263157895,0.76,0.8,0.7866666666666666,0.7333333333333334,0.7157894736842105,0.77,0.7050000000000001,0.7263157894736842,0.71,0.75,0.78,1.0,0.7357142857142858,0.7388888888888889,0.74,0.7050000000000001,0.78,0.7411764705882353,0.725,0.725,0.765,0.73,0.8,0.7666666666666666,0.74,0.78,0.76,0.725
random--la412,0.7357142857142858,0.7357142857142858,0.7285714285714286,0.7642857142857142,0.7071428571428571,0.7142857142857143,0.8,0.8357142857142857,0.7785714285714286,0.7071428571428571,0.7785714285714286,0.7857142857142857,0.7714285714285715,0.7357142857142858,1.0,0.75,0.7785714285714286,0.7857142857142857,0.7357142857142858,0.8642857142857143,0.7571428571428571,0.7214285714285714,0.8071428571428572,0.7642857142857142,0.7857142857142857,0.7357142857142858,0.7714285714285715,0.7642857142857142,0.8071428571428572,0.7857142857142857
random--la427,0.7666666666666666,0.7444444444444445,0.7555555555555555,0.7823529411764706,0.74,0.7833333333333333,0.7277777777777779,0.7388888888888889,0.7555555555555555,0.7722222222222223,0.7388888888888889,0.7642857142857142,0.7555555555555555,0.7388888888888889,0.75,1.0,0.7666666666666666,0.75,0.7666666666666666,0.7705882352941177,0.7277777777777779,0.7833333333333333,0.7555555555555555,0.7611111111111111,0.7142857142857143,0.7388888888888889,0.7866666666666666,0.7555555555555555,0.7388888888888889,0.7222222222222222
random--la430,0.7454545454545455,0.736842105263158,0.725,0.7529411764705882,0.7666666666666666,0.7611111111111111,0.7842105263157895,0.75,0.7523809523809524,0.736842105263158,0.7272727272727273,0.7428571428571429,0.6909090909090909,0.74,0.7785714285714286,0.7666666666666666,1.0,0.7863636363636364,0.7733333333333333,0.7705882352941177,0.7523809523809524,0.7047619047619047,0.74,0.7545454545454545,0.8071428571428572,0.7444444444444445,0.8133333333333334,0.755,0.7772727272727273,0.7727272727272727
random--la431,0.7434782608695651,0.7473684210526316,0.735,0.7647058823529411,0.7266666666666667,0.7888888888888889,0.7210526315789474,0.7782608695652173,0.780952380952381,0.7263157894736842,0.7782608695652173,0.7642857142857142,0.7136363636363636,0.7050000000000001,0.7857142857142857,0.75,0.7863636363636364,1.0,0.7866666666666666,0.8294117647058823,0.7666666666666666,0.7285714285714286,0.74,0.7954545454545454,0.8071428571428572,0.7833333333333333,0.8066666666666666,0.765,0.7869565217391304,0.7391304347826086
random--la439,0.8133333333333334,0.7666666666666666,0.7866666666666666,0.8533333333333333,0.8066666666666666,0.7866666666666666,0.7866666666666666,0.7866666666666666,0.8,0.7533333333333333,0.7866666666666666,0.75,0.7933333333333333,0.78,0.7357142857142858,0.7666666666666666,0.7733333333333333,0.7866666666666666,1.0,0.76,0.76,0.7266666666666667,0.7466666666666666,0.7866666666666666,0.85,0.7733333333333333,0.74,0.78,0.8266666666666667,0.84
random--la512,0.7470588235294118,0.7411764705882353,0.7176470588235294,0.7823529411764706,0.74,0.7411764705882353,0.7411764705882353,0.7529411764705882,0.7764705882352941,0.711764705882353,0.8,0.8214285714285714,0.8117647058823529,0.7411764705882353,0.8642857142857143,0.7705882352941177,0.7705882352941177,0.8294117647058823,0.76,1.0,0.7647058823529411,0.7647058823529411,0.7764705882352941,0.7764705882352941,0.75,0.7058823529411764,0.74,0.7647058823529411,0.7647058823529411,0.7941176470588236
