road,one-plus-o22,one-plus-o227,one-plus-o230,one-plus-o238,one-plus-o34,one-plus-o37,one-plus-o320,one-plus-o331,one-plus-o340,one-plus-o344,one-plus-o346,random--la12,random--la1016,random--la24,random--la314,random--la43,random--la413,random--la415,random--la421,random--la424,random--la427,random--la53,random--la532,random--la619,random--la621,random--la628,random--la712,random--la717,random--la734,random--la911
one-plus-o346,0.77,0.77,0.8,0.77,0.87,0.79,0.92,0.77,0.9777777777777777,0.8,1.0,0.78,0.76,0.69,0.83,0.83,0.81,1.0,0.84,0.71,0.78,0.76,0.75,0.88,0.76,0.77,0.74,0.76,0.75,0.8
random--la12,0.7375,0.7777777777777778,0.7888888888888889,0.7571428571428571,0.79,0.8200000000000001,0.76,0.77,0.7888888888888889,0.8222222222222222,0.78,1.0,0.7846153846153846,0.8071428571428572,0.7533333333333333,0.8333333333333334,0.7733333333333333,1.0,0.7611111111111111,0.7785714285714286,0.7777777777777778,0.8333333333333334,0.7555555555555555,0.79,0.7777777777777778,0.76,0.7722222222222223,0.8,0.7666666666666666,0.7857142857142857
random--la1016,0.8,0.8,0.823076923076923,0.8307692307692307,0.79,0.73,0.74,0.73,0.7222222222222222,0.7444444444444445,0.76,0.7846153846153846,1.0,0.7461538461538462,0.8307692307692307,0.7692307692307692,0.7153846153846154,0.9,0.7769230769230769,0.7153846153846154,0.7846153846153846,0.7916666666666666,0.7538461538461538,0.72,0.7846153846153846,0.76,0.8076923076923077,0.8,0.8333333333333334,0.7538461538461538
random--la24,0.8214285714285714,0.7785714285714286,0.7714285714285715,0.8071428571428572,0.76,0.72,0.73,0.74,0.7222222222222222,0.7333333333333334,0.69,0.8071428571428572,0.7461538461538462,1.0,0.7142857142857143,0.7714285714285715,0.7857142857142857,0.9,0.8428571428571429,0.8,0.7428571428571429,0.8666666666666667,0.8428571428571429,0.73,0.7928571428571428,0.81,0.75,0.75,0.7416666666666667,0.7642857142857142
random--la314,0.8733333333333333,0.7733333333333333,0.7466666666666666,0.7285714285714286,0.85,0.84,0.8200000000000001,0.86,0.8111111111111111,0.8777777777777778,0.83,0.7533333333333333,0.8307692307692307,0.7142857142857143,1.0,0.7333333333333334,0.72,1.0,0.76,0.6571428571428571,0.7666666666666666,0.7333333333333334,0.7733333333333333,0.8,0.7733333333333333,0.76,0.8066666666666666,0.8,0.8333333333333334,0.8
random--la43,0.775,0.735,0.8052631578947369,0.7857142857142857,0.8,0.8200000000000001,0.79,0.84,0.8111111111111111,0.8555555555555556,0.83,0.8333333333333334,0.7692307692307692,0.7714285714285715,0.7333333333333334,1.0,0.7,0.95,0.7454545454545455,0.6857142857142857,0.7555555555555555,0.7666666666666666,0.735,0.71,0.7727272727272727,0.8,0.73,0.76,0.7916666666666666,0.7571428571428571
random--la413,0.8066666666666666,0.7066666666666667,0.7333333333333334,0.7285714285714286,0.77,0.86,0.75,0.8200000000000001,0.7777777777777778,0.7888888888888889,0.81,0.7733333333333333,0.7153846153846154,0.7857142857142857,0.72,0.7,1.0,0.95,0.72,0.7214285714285714,0.7533333333333333,0.75,0.7533333333333333,0.74,0.8,0.74,0.7333333333333334,0.74,0.7166666666666667,0.7142857142857143
random--la415,0.9,0.95,1.0,0.9,0.9,0.95,0.9,0.9,0.95,1.0,1.0,1.0,0.9,0.9,1.0,0.95,0.95,1.0,0.95,0.95,0.9,0.85,0.95,0.95,0.9,0.8,1.0,0.95,0.9,0.9
random--la421,0.75625,0.7150000000000001,0.6947368421052631,0.7357142857142858,0.83,0.75,0.84,0.79,0.8555555555555556,0.7666666666666666,0.84,0.7611111111111111,0.7769230769230769,0.8428571428571429,0.76,0.7454545454545455,0.72,0.95,1.0,0.7285714285714286,0.7444444444444445,0.8083333333333333,0.76,0.76,0.7260869565217392,0.79,0.7050000000000001,0.8200000000000001,0.7666666666666666,0.75
random--la424,0.7,0.7142857142857143,0.7857142857142857,0.7642857142857142,0.6699999999999999,0.7,0.69,0.72,0.7555555555555555,0.8222222222222222,0.71,0.7785714285714286,0.7153846153846154,0.8,0.6571428571428571,0.6857142857142857,0.7214285714285714,0.95,0.7285714285714286,1.0,0.65,0.7833333333333333,0.7214285714285714,0.73,0.7357142857142858,0.71,0.8,0.78,0.725,0.7214285714285714
