road,one-plus-o27,one-plus-o222,one-plus-o239,one-plus-o34,one-plus-o36,one-plus-o37,one-plus-o318,one-plus-o334,one-plus-o344,one-plus-o356,one-plus-o360,one-plus-o365,one-plus-o368,random--la115,random--la1014,random--la1024,random--la24,random--la26,random--la410,random--la434,random--la438,random--la523,random--la65,random--la68,random--la630,random--la76,random--la726,random--la731,random--la82,random--la920
random--la1014,0.8071428571428572,0.7857142857142857,0.7428571428571429,0.81,0.8,0.79,0.8090909090909091,0.775,0.8,0.8666666666666667,0.9,0.825,0.8333333333333334,0.7857142857142857,1.0,0.8,0.8071428571428572,0.7285714285714286,0.8071428571428572,0.7857142857142857,0.8142857142857143,0.75,0.6714285714285715,0.7928571428571428,0.7428571428571429,0.7714285714285715,0.8083333333333333,0.7642857142857142,0.7142857142857143,0.7714285714285715
random--la1024,0.8235294117647058,0.7789473684210526,0.7714285714285715,0.81,0.88,0.87,0.7727272727272727,0.85,0.8888888888888888,0.8777777777777778,0.7777777777777778,0.9125,0.8444444444444444,0.7833333333333333,0.8,1.0,0.75,0.7473684210526316,0.7842105263157895,0.8285714285714285,0.7473684210526316,0.7631578947368421,0.7222222222222222,0.8214285714285714,0.7941176470588236,0.74,0.825,0.71875,0.7736842105263158,0.8
random--la24,0.8,0.7785714285714286,0.8071428571428572,0.76,0.73,0.72,0.7090909090909091,0.8125,0.7333333333333334,0.7333333333333334,0.7666666666666666,0.7875,0.6888888888888889,0.7785714285714286,0.8071428571428572,0.75,1.0,0.7071428571428571,0.8071428571428572,0.7642857142857142,0.8214285714285714,0.7142857142857143,0.6785714285714286,0.7428571428571429,0.75,0.8142857142857143,0.75,0.7357142857142858,0.75,0.7214285714285714
random--la26,0.7764705882352941,0.7473684210526316,0.8214285714285714,0.78,0.88,0.87,0.7909090909090909,0.7875,0.8111111111111111,0.8222222222222222,0.8222222222222222,0.85,0.8333333333333334,0.75,0.7285714285714286,0.7473684210526316,0.7071428571428571,1.0,0.7526315789473684,0.8,0.7052631578947368,0.6842105263157895,0.6777777777777778,0.7642857142857142,0.7647058823529411,0.74,0.8166666666666667,0.70625,0.7105263157894737,0.7647058823529411
random--la410,0.7588235294117647,0.7631578947368421,0.7857142857142857,0.77,0.81,0.8,0.7545454545454545,0.8625,0.7888888888888889,0.8222222222222222,0.7777777777777778,0.825,0.7888888888888889,0.8111111111111111,0.8071428571428572,0.7842105263157895,0.8071428571428572,0.7526315789473684,1.0,0.8357142857142857,0.7631578947368421,0.7684210526315789,0.7222222222222222,0.7857142857142857,0.7705882352941177,0.7333333333333334,0.8083333333333333,0.78125,0.736842105263158,0.7588235294117647
random--la434,0.8071428571428572,0.7928571428571428,0.7714285714285715,0.76,0.77,0.76,0.7272727272727273,0.9125,0.7666666666666666,0.7777777777777778,0.7888888888888889,0.825,0.7333333333333334,0.8,0.7857142857142857,0.8285714285714285,0.7642857142857142,0.8,0.8357142857142857,1.0,0.8,0.7714285714285715,0.7142857142857143,0.8928571428571429,0.7928571428571428,0.7428571428571429,0.875,0.7642857142857142,0.7785714285714286,0.85
random--la438,0.8058823529411765,0.7473684210526316,0.8357142857142857,0.77,0.8,0.79,0.7545454545454545,0.7875,0.8222222222222222,0.8666666666666667,0.8222222222222222,0.8,0.8333333333333334,0.7277777777777779,0.8142857142857143,0.7473684210526316,0.8214285714285714,0.7052631578947368,0.7631578947368421,0.8,1.0,0.7473684210526316,0.7055555555555555,0.7357142857142858,0.7705882352941177,0.76,0.8083333333333333,0.7375,0.7526315789473684,0.7352941176470589
random--la523,0.7470588235294118,0.725,0.8285714285714285,0.78,0.75,0.76,0.8,0.925,0.7777777777777778,0.8111111111111111,0.7555555555555555,0.875,0.8,0.7833333333333333,0.75,0.7631578947368421,0.7142857142857143,0.6842105263157895,0.7684210526315789,0.7714285714285715,0.7473684210526316,1.0,0.7,0.7428571428571429,0.8411764705882353,0.72,0.7416666666666667,0.73125,0.7052631578947368,0.788235294117647
random--la65,0.7411764705882353,0.6944444444444444,0.7571428571428571,0.78,0.79,0.8,0.7727272727272727,0.75,0.7444444444444445,0.7777777777777778,0.8666666666666667,0.75,0.7666666666666666,0.7111111111111111,0.6714285714285715,0.7222222222222222,0.6785714285714286,0.6777777777777778,0.7222222222222222,0.7142857142857143,0.7055555555555555,0.7,1.0,0.7357142857142858,0.7529411764705882,0.7,0.7583333333333333,0.725,0.7444444444444445,0.6823529411764706
random--la68,0.7785714285714286,0.8285714285714285,0.75,0.78,0.73,0.72,0.7454545454545455,0.8375,0.7666666666666666,0.7555555555555555,0.7444444444444445,0.8,0.7,0.7571428571428571,0.7928571428571428,0.8214285714285714,0.7428571428571429,0.7642857142857142,0.7857142857142857,0.8928571428571429,0.7357142857142858,0.7428571428571429,0.7357142857142858,1.0,0.7785714285714286,0.7857142857142857,0.8833333333333333,0.7642857142857142,0.8071428571428572,0.7642857142857142
